Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis,0.0034870801712249,0.00014923839473334,0.00495228211728436,0,0,0,1.40006096467302,0.0122488029675377,-3.88657720552253E-06,2.93276303277528E-06,0.00781898680793438,-9.35567229650028E-06,0.00674219327247553,0,0,0,0,0,0,package://Robot3/meshes/pelvis.STL,0.658823529411765,0.619607843137255,0.56078431372549,1,0,0,0,0,0,0,package://Robot3/meshes/pelvis.STL,,pelvis-1/胯部连杆-1;pelvis-1/胯部连杆2-1;pelvis-1/髋pitch限位-3;pelvis-1/LGB／T119-2000圆柱销A型4×10-2;pelvis-1/RMD-X10-P20-200 电机组合图（金刚版）-1;pelvis-1/RMD-X15-P20-450 电机组合图-1;pelvis-1/髋侧摆限位块2-1;pelvis-1/散热风扇60-60-10-24V-1;pelvis-1/RMD-X15-P20-450 电机组合图-4;pelvis-1/髋侧摆限位块2-3;pelvis-1/髋pitch限位-1,pelvis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_pitch_link,-0.000895316769022636,0.0302978462138487,-0.00880968633689006,0,0,0,0.692305264002191,0.00226550541727888,-0.00015332814742625,0.000124458266889606,0.00232823456681974,-0.000455403152750476,0.0010989462515664,0,0,0,0,0,0,package://Robot3/meshes/left_hip_pitch_link.STL,0.658823529411765,0.619607843137255,0.56078431372549,1,0,0,0,0,0,0,package://Robot3/meshes/left_hip_pitch_link.STL,,pelvis-1/Mirror髋侧摆法兰-3;pelvis-1/Mirror髋侧摆骨架-3;pelvis-1/RMD-X12-320 250913-3;pelvis-1/髋侧摆限位块-3,left_hip_pitch_joint,left_hip_pitch_line,left_hip_pitch_joint,continuous,0,0.104600954900078,-0.0465713456321795,-0.418879020478645,0,0,pelvis,0,1,0,450,6.8,-142.5,142.5,,,,,,,,
left_hip_roll_link,0.0440972280423503,0.000189013519863723,-0.0176862471024743,0,0,0,0.334712201577771,0.000567537850310957,9.37968107563807E-06,-6.45126659834855E-06,0.000503080718375552,1.23646157788998E-07,0.000735318117723709,0,0,0,0,0,0,package://Robot3/meshes/left_hip_roll_link.STL,0.658823529411765,0.619607843137255,0.56078431372549,1,0,0,0,0,0,0,package://Robot3/meshes/left_hip_roll_link.STL,,pelvis-1/Mirror髋旋连杆1-4;pelvis-1/RMD-X8-120 250913-4;pelvis-1/侧摆输入连杆1-3,left_hip_roll_joint,left_hip_roll_line,left_hip_roll_joint,continuous,-0.0612000000001746,0.0620175128099172,-0.0768476913855653,0.418879020478645,0,0,left_hip_pitch_link,-1,0,0,320,10.47,-22,120,,,,,,,,
left_hip_yaw_link,0.0118950105550647,-0.0098668023838354,-0.207575066013102,0,0,0,3.12444182136955,0.0362266044270049,-4.9980010299098E-05,-0.000979777989212715,0.0395912157494457,-5.11501313044833E-05,0.00648872207516737,0,0,0,0,0,0,package://Robot3/meshes/left_hip_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot3/meshes/left_hip_yaw_link.STL,,L大腿组件-2,left_hip_yaw_joint,left_hip_yaw_line,left_hip_yaw_joint,continuous,0.0612000000000005,0,-0.0780000000000024,0,0,0,left_hip_roll_link,0,0,1,120,13.299,-155,155,,,,,,,,
left_knee_link,0.0126473727543272,-0.000261786551251975,-0.208291798646595,0,0,0,2.35440789381609,0.025388463063685,-3.64338472504167E-07,0.000542521859147983,0.0248233407805041,-1.91151936469443E-05,0.00189690259003626,0,0,0,0,0,0,package://Robot3/meshes/left_knee_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Robot3/meshes/left_knee_link.STL,,L小腿骨架4-3;踝关节连杆1-1-3;踝关节连杆2-2-7;踝关节曲柄2-5;踝关节曲柄2-6;踝关节限位1-17;踝关节限位2-5;踝关节限位2-6;RMD-X6-P20-60 电机组合图-5;RMD-X6-P20-60 电机组合图-6;BNN51-GEG8C-21;BNN51-GEG8C-22;hexagon socket button head screws gb-29;踝关节限位1-18;BNN01-GE12C-17;BNN01-GE12C-19;hexagon socket button head screws gb-32;hexagon socket head cap screws gb-106;TBH11-d5-L40-4;hexagon socket button head screws gb-31;hexagon socket button head screws gb-30,left_knee_joint,left_knee_line,left_knee_joint,continuous,0,-0.000249999999996919,-0.371999999999714,0,0,0,left_hip_yaw_link,0,1,0,450,6.8,-135,0,,,,,,,,
left_ankle_pitch_link,-1.41373823902702E-07,3.67283872896307E-05,-3.01326505747213E-07,0,0,0,0.016546422935989,1.54582341871372E-06,-4.63551972997543E-11,-9.34460227539996E-11,2.50366117258742E-06,-1.40108652373608E-10,3.50591901655677E-06,0,0,0,0,0,0,package://Robot3/meshes/left_ankle_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot3/meshes/left_ankle_pitch_link.STL,,LM十字轴组件-4,left_ankle_pitch_joint,left_ankle_pitch_line,left_ankle_pitch_joint,continuous,0,0.000250000000000139,-0.415,0,0,0,left_knee_link,0,1,0,90,16,0.93,0.93,,,,,,,,
left_ankle_roll_link,0.0529675719130262,-9.23790247608913E-06,-0.0427357929642018,0,0,0,1.10979273678729,0.000742778539910607,3.00547352532467E-09,-8.99702540277709E-06,0.00384578263870784,-3.56848296696511E-10,0.00450885100212511,0,0,0,0,0,0,package://Robot3/meshes/left_ankle_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot3/meshes/left_ankle_roll_link.STL,,LF脚2-4,left_ankle_roll_joint,left_ankle_roll_line,left_ankle_roll_joint,continuous,0,0,0,0,0,0,left_ankle_pitch_link,1,0,0,90,16,-0.35,0.35,,,,,,,,
right_hip_pitch_link,-0.000893693389983158,-0.0302965051859129,-0.00880848137358405,0,0,0,0.692283102667822,0.00226557946246664,0.000153305941349195,0.000124488199905061,0.00232824450085443,0.000455545579136513,0.00109902601353522,0,0,0,0,0,0,package://Robot3/meshes/right_hip_pitch_link.STL,0.658823529411765,0.619607843137255,0.56078431372549,1,0,0,0,0,0,0,package://Robot3/meshes/right_hip_pitch_link.STL,,pelvis-1/髋侧摆法兰-1;pelvis-1/髋侧摆骨架-1;pelvis-1/RMD-X12-320 250913-1;pelvis-1/髋侧摆限位块-1,right_hip_pitch_joint,right_hip_pitch_line,right_hip_pitch_joint,continuous,0,-0.104600954900078,-0.0465713456321795,0.418879020478645,0,0,pelvis,0,-1,0,450,6.8,-142.5,142.5,,,,,,,,
right_hip_roll_link,0.0440967948841425,-0.000188668551224541,-0.0176863870996717,0,0,0,0.334707993478141,0.000567542592010516,-9.37785390006794E-06,-6.45257988686553E-06,0.000503068097233405,-1.2125042657032E-07,0.000735310487719838,0,0,0,0,0,0,package://Robot3/meshes/right_hip_roll_link.STL,0.658823529411765,0.619607843137255,0.56078431372549,1,0,0,0,0,0,0,package://Robot3/meshes/right_hip_roll_link.STL,,pelvis-1/侧摆输入连杆1-1;pelvis-1/髋旋连杆1-1;pelvis-1/RMD-X8-120 250913-1,right_hip_roll_joint,right_hip_roll_line,right_hip_roll_joint,continuous,-0.0611999999997853,-0.0620175128103015,-0.0768476913855654,-0.418879020478645,0,0,right_hip_pitch_link,1,0,0,320,10.47,-22,120,,,,,,,,
right_hip_yaw_link,0.0119058284535017,0.00991348165196189,-0.207589377262525,0,0,0,3.12762237902784,0.0362259055219025,4.99789255965767E-05,-0.00097483573090404,0.0395903750691801,5.13091797413339E-05,0.00648856652114833,0,0,0,0,0,0,package://Robot3/meshes/right_hip_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot3/meshes/right_hip_yaw_link.STL,,D_leg-1,right_hip_yaw_joint,right_hip_yaw_line,right_hip_yaw_joint,continuous,0.0612000000000005,0,-0.0780000000000024,0,0,0,right_hip_roll_link,0,0,1,120,13.299,-155,155,,,,,,,,
